id,domain,intent,user_query,response,source,split
1,E-commerce,wrong_product,My order contains a different product.,Start a return or replacement request for the incorrect item and follow the seller's instructions.,curated_project_dataset,validation
2,E-commerce,cancel_order,Please cancel my order (request 91),I can guide you through cancellation. Check your order details for the Cancel Order option.,curated_project_dataset,train
3,E-commerce,wrong_product,I want to know: My order contains a different product.,Start a return or replacement request for the incorrect item and follow the seller's instructions.,curated_project_dataset,train
4,Healthcare,appointment_reschedule,How can I change my consultation date? (request 52),Use the reschedule option in your appointment details and select a new available date.,curated_project_dataset,test
5,Finance,cash_withdrawal,The ATM did not give me cash. Can you guide me?,"If your account was debited, keep the ATM receipt or transaction details and contact your bank immediately for investigation.",curated_project_dataset,train
6,E-commerce,cancel_order,Can you help me with this? Can I cancel my purchase?,Cancellation depends on the order status. Please open the order details and check whether the cancellation option is available.,curated_project_dataset,train
7,E-commerce,payment_failed,I need help with this: My card payment did not go through.,Please verify your card details and contact your bank if the transaction continues to be declined.,curated_project_dataset,train
8,Finance,transfer_failed,I want to know: Why did my transfer fail? Can you guide me?,"Transfers can fail because of incorrect details, account restrictions, insufficient funds, or bank-side issues. Check the transaction information and contact your bank if needed.",curated_project_dataset,train
9,Healthcare,medication_information,Please help me: What is this medicine used for?,Medication uses depend on the specific medicine and your circumstances. Check the medicine label or consult a pharmacist or doctor for reliable guidance.,curated_project_dataset,train
10,Finance,cash_withdrawal,My ATM transaction failed (request 80),Check your account and ATM transaction status. Contact your bank if money was debited or the issue continues.,curated_project_dataset,train
11,Finance,balance_inquiry,I want to know my bank balance (request 55),Please check the balance section of your official banking app or online banking account.,curated_project_dataset,train
12,Healthcare,appointment_booking,How can I book a doctor appointment? (request 53),"You can book an appointment by selecting a doctor, choosing an available date and time, and confirming the booking.",curated_project_dataset,train
13,Healthcare,lab_test,How do I book a lab test? (request 45),"Select the required test, choose an available laboratory or collection service, and confirm the appointment if booking is available.",curated_project_dataset,train
14,E-commerce,damaged_product,The package arrived damaged (request 64),Document the package condition and contact customer support or the seller with your order number and photos.,curated_project_dataset,train
15,Finance,loan_information,How can I apply for a loan? (request 77),"Loan eligibility, documents, interest rates, and application procedures vary by lender. Check the lender's official application process.",curated_project_dataset,train
16,Healthcare,emergency_guidance,What should I do in a medical emergency?,"For a serious or life-threatening emergency, seek immediate emergency medical care or contact your local emergency service. Do not rely on a chatbot for emergency treatment.",curated_project_dataset,test
17,E-commerce,track_order,How can I track my package? (request 74),Use the tracking link in your order details or provide your order number to check the shipment status.,curated_project_dataset,train
18,Healthcare,medication_information,What is this medicine used for? (request 73),Medication uses depend on the specific medicine and your circumstances. Check the medicine label or consult a pharmacist or doctor for reliable guidance.,curated_project_dataset,train
19,Finance,loan_information,What documents are required for a loan? (request 39),"Requirements depend on the lender and loan type. Commonly requested documents may include identity, income, and address information.",curated_project_dataset,train
20,Finance,cash_withdrawal,Why did my cash withdrawal fail? (request 47),"A withdrawal may fail because of insufficient funds, card restrictions, ATM issues, or withdrawal limits.",curated_project_dataset,test
21,Healthcare,appointment_booking,How can I book a doctor appointment? (request 45),"You can book an appointment by selecting a doctor, choosing an available date and time, and confirming the booking.",curated_project_dataset,train
22,Healthcare,appointment_reschedule,I need to reschedule my doctor's visit (request 90),"Open your appointment and select Reschedule, then choose another available date and time.",curated_project_dataset,train
23,Healthcare,emergency_guidance,I want to know: What should I do in a medical emergency?,"For a serious or life-threatening emergency, seek immediate emergency medical care or contact your local emergency service. Do not rely on a chatbot for emergency treatment.",curated_project_dataset,validation
24,Finance,transfer_pending,When will my pending transfer be completed? (request 84),Processing time varies by bank and transfer type. Check the transaction status for the latest update.,curated_project_dataset,train
25,E-commerce,refund,When will I get my refund? (request 61),Refund timing depends on the payment method and seller's processing time. Check your order's refund status for the latest update.,curated_project_dataset,train
26,Finance,credit_card,I need help with my credit card (request 96),"Please specify whether you need help with payments, limits, transactions, fees, or card access so the appropriate guidance can be provided.",curated_project_dataset,train
27,Finance,bank_account,Can I open a bank account online?,"Many banks offer online account opening, subject to eligibility and verification requirements. Check your bank's official website.",curated_project_dataset,validation
28,E-commerce,return_order,Can I return my product? (request 27),"Return eligibility depends on the product, seller policy, and purchase date. Check the return policy associated with your order.",curated_project_dataset,train
29,Healthcare,appointment_reschedule,Can I change my appointment time? (request 97),"Yes. If another slot is available, you can reschedule the appointment from your booking details.",curated_project_dataset,train
30,E-commerce,return_order,I want to return something I bought (request 42),You can request a return from the order details if the item meets the seller's return conditions.,curated_project_dataset,test
31,E-commerce,track_order,Please help me: How can I track my package?,Use the tracking link in your order details or provide your order number to check the shipment status.,curated_project_dataset,train
32,E-commerce,delivery_time,How long does delivery take? (request 66),"Delivery time varies by location, seller, and shipping option. Check the estimated delivery date shown during checkout or in your order.",curated_project_dataset,train
33,Healthcare,medical_report,I received my test report. What does it mean? (request 47),"Please discuss the report with your healthcare professional, who can interpret the findings using your clinical history and examination.",curated_project_dataset,train
