intent_id,intent
0,account_issue
1,appointment_booking
2,appointment_cancel
3,appointment_reschedule
4,balance_inquiry
5,bank_account
6,cancel_order
7,card_payment
8,cash_withdrawal
9,credit_card
10,damaged_product
11,delivery_time
12,emergency_guidance
13,fraud_transaction
14,health_insurance
15,lab_test
16,loan_information
17,lost_or_stolen_card
18,medical_report
19,medication_information
20,payment_failed
21,prescription
22,product_information
23,refund
24,return_order
25,symptoms_information
26,track_order
27,transaction_issue
28,transfer_failed
29,transfer_pending
30,wrong_product
