id,domain,intent,user_query,response,source,split,intent_id,domain_id
1,E-commerce,wrong_product,My order contains a different product.,Start a return or replacement request for the incorrect item and follow the seller's instructions.,curated_project_dataset,validation,30,0
2,E-commerce,cancel_order,Please cancel my order (request 91),I can guide you through cancellation. Check your order details for the Cancel Order option.,curated_project_dataset,train,6,0
3,E-commerce,wrong_product,I want to know: My order contains a different product.,Start a return or replacement request for the incorrect item and follow the seller's instructions.,curated_project_dataset,train,30,0
4,Healthcare,appointment_reschedule,How can I change my consultation date? (request 52),Use the reschedule option in your appointment details and select a new available date.,curated_project_dataset,test,3,2
5,Finance,cash_withdrawal,The ATM did not give me cash. Can you guide me?,"If your account was debited, keep the ATM receipt or transaction details and contact your bank immediately for investigation.",curated_project_dataset,train,8,1
6,E-commerce,cancel_order,Can you help me with this? Can I cancel my purchase?,Cancellation depends on the order status. Please open the order details and check whether the cancellation option is available.,curated_project_dataset,train,6,0
7,E-commerce,payment_failed,I need help with this: My card payment did not go through.,Please verify your card details and contact your bank if the transaction continues to be declined.,curated_project_dataset,train,20,0
8,Finance,transfer_failed,I want to know: Why did my transfer fail? Can you guide me?,"Transfers can fail because of incorrect details, account restrictions, insufficient funds, or bank-side issues. Check the transaction information and contact your bank if needed.",curated_project_dataset,train,28,1
9,Healthcare,medication_information,Please help me: What is this medicine used for?,Medication uses depend on the specific medicine and your circumstances. Check the medicine label or consult a pharmacist or doctor for reliable guidance.,curated_project_dataset,train,19,2
10,Finance,cash_withdrawal,My ATM transaction failed (request 80),Check your account and ATM transaction status. Contact your bank if money was debited or the issue continues.,curated_project_dataset,train,8,1
11,Finance,balance_inquiry,I want to know my bank balance (request 55),Please check the balance section of your official banking app or online banking account.,curated_project_dataset,train,4,1
12,Healthcare,appointment_booking,How can I book a doctor appointment? (request 53),"You can book an appointment by selecting a doctor, choosing an available date and time, and confirming the booking.",curated_project_dataset,train,1,2
13,Healthcare,lab_test,How do I book a lab test? (request 45),"Select the required test, choose an available laboratory or collection service, and confirm the appointment if booking is available.",curated_project_dataset,train,15,2
