id,domain,intent,user_query,response,source,split
1,Healthcare,medication_information,How should I learn about my prescribed medicine? (request 31),"Review the prescription and medication leaflet, and ask your doctor or pharmacist about dosage, interactions, and precautions.",curated_project_dataset,validation
2,Finance,fraud_transaction,Someone may have used my card.,"Contact your card issuer immediately using the official number or app, secure your account, and follow the issuer's instructions for reporting suspected fraud.",curated_project_dataset,validation
3,Finance,loan_information,I need help with this: How can I apply for a loan? Can you guide me?,"Loan eligibility, documents, interest rates, and application procedures vary by lender. Check the lender's official application process.",curated_project_dataset,validation
4,E-commerce,track_order,What is the status of my order? (request 31),Please provide your order number so the current delivery status can be checked.,curated_project_dataset,validation
5,E-commerce,return_order,I want to return something I bought (request 98),You can request a return from the order details if the item meets the seller's return conditions.,curated_project_dataset,validation
6,Healthcare,medication_information,Can you give me information about a medicine? (request 54),"Please provide the medicine name. I can give general information, but medication decisions should be confirmed with a qualified healthcare professional.",curated_project_dataset,train
7,Finance,transaction_issue,Why is my transaction not showing? (request 83),Transaction updates can take time depending on the transaction type. Check again later and contact your bank if the expected posting time has passed.,curated_project_dataset,validation
8,Healthcare,appointment_booking,How can I book a doctor appointment? (request 45),"You can book an appointment by selecting a doctor, choosing an available date and time, and confirming the booking.",curated_project_dataset,validation
9,Healthcare,emergency_guidance,Can you help me with this? I have a severe medical problem. What should I do?,"Seek urgent medical attention immediately, especially if symptoms are severe, sudden, or life-threatening.",curated_project_dataset,validation
10,Healthcare,appointment_booking,How can I book a doctor appointment? (request 97),"You can book an appointment by selecting a doctor, choosing an available date and time, and confirming the booking.",curated_project_dataset,train
11,Finance,transfer_failed,Can you help me with this? The transfer was unsuccessful. Can you guide me?,Please review the transaction details and any error message. Your bank can provide the exact reason if the transaction was rejected.,curated_project_dataset,validation
12,E-commerce,payment_failed,Why was my online payment declined? (request 78),"A payment can fail because of incorrect details, bank restrictions, insufficient funds, or security checks. Contact your bank if the problem continues.",curated_project_dataset,validation
13,Healthcare,medication_information,I need help with this: I want information about my medication.,Please share the medicine name if you want general information. Do not change the prescribed dose without consulting your healthcare professional.,curated_project_dataset,train
14,Healthcare,appointment_reschedule,I need to reschedule my doctor's visit (request 46),"Open your appointment and select Reschedule, then choose another available date and time.",curated_project_dataset,validation
15,Healthcare,appointment_booking,I want to see a doctor (request 28),I can help you schedule a consultation. Please provide the medical specialty or doctor you want to visit.,curated_project_dataset,train
16,E-commerce,damaged_product,I received a broken product (request 31),Please report the issue promptly through your order support or return process and provide clear photos of the damage.,curated_project_dataset,validation
17,Finance,transaction_issue,My transaction looks incorrect (request 62),"Please verify the amount, date, and transaction details. If you do not recognize or agree with the transaction, contact your bank promptly.",curated_project_dataset,train
18,Finance,transaction_issue,My transaction looks incorrect (request 74),"Please verify the amount, date, and transaction details. If you do not recognize or agree with the transaction, contact your bank promptly.",curated_project_dataset,train
19,Finance,lost_or_stolen_card,I misplaced my bank card Can you assist?,"If your card is lost or stolen, block it immediately through your bank's official app or contact the bank's customer support.",curated_project_extension,validation
20,Finance,card_payment,I cannot pay with my card (request 95),"Verify that your card is active and has sufficient funds. If payments continue to fail, contact your card issuer.",curated_project_dataset,validation
